Country,Air Pollution Level,Air Quality Station Type,Longitude,Latitude,Altitude,City,City Population,PATH
Germany,33.293,Traffic,13.4417,52.4675,40.0,Berlin,3669491.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/1.jpg
Italy,29.821,Background,9.6439,45.6903,249.0,Bergamo,120783.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/2.jpg
Italy,43.91,Traffic,9.1914,45.4956,122.0,Milano (greater city),3622641.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/3.jpg
Italy,8.366,Background,12.4197,42.5519,329.0,,,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/4.jpg
Belgium,15.58,Background,4.8653,50.4624,65.0,Namur,112125.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/5.jpg
Belgium,20.915,Traffic,5.5718,50.638,60.0,Li̬ge,383700.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/6.jpg
Italy,19.414,Background,10.6647,44.6908,50.0,Reggio nell'Emilia,171084.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/7.jpg
Italy,24.405,Traffic,16.2917,41.2317,10.0,Andria,98414.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/8.jpg
Italy,22.115,Background,8.6204,45.4397,154.0,Novara,103287.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/9.jpg
Italy,38.22,Traffic,13.3542,38.1244,17.0,Palermo,647422.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/10.jpg
Italy,22.437,Traffic,18.1767,40.3519,50.0,Lecce,93865.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/11.jpg
Italy,19.11,Traffic,16.605,41.2003,10.0,Molfetta,58145.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/12.jpg
Italy,28.522,Traffic,15.5529,38.1983,10.0,Messina,227424.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/13.jpg
Italy,19.338,Traffic,15.2853,37.0678,9.0,Siracusa,119056.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/14.jpg
Italy,12.614,Background,12.5469,38.0124,40.0,Trapani,65841.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/15.jpg
Italy,22.216,Traffic,12.1867,44.4286,4.0,Ravenna,158247.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/16.jpg
Italy,27.427,Background,11.1262,46.0629,203.0,Trento,120641.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/17.jpg
Italy,29.163,Traffic,11.34,46.4955,260.0,Bolzano,107843.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/18.jpg
Italy,33.978,Traffic,9.0836,45.8044,201.0,Como,85543.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/19.jpg
Italy,24.352,Traffic,10.0167,45.1328,45.0,Cremona,72399.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/20.jpg
Italy,7.423,Background,14.2238,37.0757,0.0,Gela,72187.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/21.jpg
Italy,35.934,Traffic,10.2319,45.5386,151.0,Brescia,196340.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/22.jpg
Italy,35.966,Traffic,12.509,41.8831,37.0,Roma,2808293.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/23.jpg
Italy,22.164,Background,8.9274,44.4182,105.0,Genova,565752.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/24.jpg
Italy,19.804,Traffic,12.3747,43.1044,305.0,Perugia,164880.0,/work/cvcs2024/air_pollution_prediction/SENTINEL_2/25.jpg
